2016-05-23 15:54:56.4728 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 931
2016-05-23 15:54:56.4868 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 873
2016-05-23 15:54:56.4868 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:54:56.4868 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:54:56.5128 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:54:57.3968 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 856
2016-05-23 15:54:57.3968 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 903
2016-05-23 15:54:57.3968 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 856
2016-05-23 15:54:57.3968 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 856
2016-05-23 15:54:57.4118 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 856
2016-05-23 15:54:58.3298 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 896
2016-05-23 15:54:58.3298 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 873
2016-05-23 15:54:58.3298 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 873
2016-05-23 15:54:58.3298 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 873
2016-05-23 15:54:58.3888 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 32
2016-05-23 15:54:59.2678 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 797
2016-05-23 15:54:59.2678 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 797
2016-05-23 15:54:59.2828 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 6
2016-05-23 15:54:59.3198 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 974
2016-05-23 15:54:59.3198 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 5
2016-05-23 15:55:00.2008 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 865
2016-05-23 15:55:00.2008 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 878
2016-05-23 15:55:00.2008 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 4
2016-05-23 15:55:00.2158 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 4
2016-05-23 15:55:00.2158 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:55:01.1388 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 930
2016-05-23 15:55:01.1508 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 917
2016-05-23 15:55:01.1508 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 917
2016-05-23 15:55:01.1508 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 917
2016-05-23 15:55:01.1738 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:55:02.0778 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 886
2016-05-23 15:55:02.0778 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 886
2016-05-23 15:55:02.0888 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 886
2016-05-23 15:55:02.0888 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 938
2016-05-23 15:55:02.0888 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 886
2016-05-23 15:55:03.0118 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 762
2016-05-23 15:55:03.0118 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 762
2016-05-23 15:55:03.0228 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 822
2016-05-23 15:55:03.0228 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:55:03.0228 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:56:44.1728 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 4495
2016-05-23 15:56:44.1728 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 4495
2016-05-23 15:56:44.1848 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 4495
2016-05-23 15:56:45.2288 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 945
2016-05-23 15:56:45.2288 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 945
2016-05-23 15:56:45.2288 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 945
2016-05-23 15:56:46.2508 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 983
2016-05-23 15:56:46.3218 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 49
2016-05-23 15:56:46.3358 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 1
2016-05-23 15:56:47.3078 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 963
2016-05-23 15:56:47.3188 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 1
2016-05-23 15:56:47.3188 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 1
2016-05-23 15:56:48.3358 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 1011
2016-05-23 15:56:48.3358 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 1011
2016-05-23 15:56:48.3498 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 7
2016-05-23 15:56:49.3838 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 1027
2016-05-23 15:56:49.4238 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 22
2016-05-23 15:56:49.4408 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 22
2016-05-23 15:56:50.4318 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 978
2016-05-23 15:56:50.4318 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 978
2016-05-23 15:56:50.4378 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 978
2016-05-23 15:56:51.4808 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 989
2016-05-23 15:56:51.5098 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 17
2016-05-23 15:56:51.5328 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 15
2016-05-23 15:56:52.5208 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 979
2016-05-23 15:56:52.5278 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 979
2016-05-23 15:56:52.6008 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 28
2016-05-23 15:56:53.5638 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 954
2016-05-23 15:56:53.5638 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 954
2016-05-23 15:56:53.5768 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 954
2016-05-23 15:56:54.6118 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 796
2016-05-23 15:56:54.6118 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 796
2016-05-23 15:56:54.6188 DEBUG Group id : 7d67c1f0-0698-4793-8a25-f4b5bc82b50a   , duration MS : 796
