2016-05-24 09:26:37.6005 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 1
2016-05-24 09:26:37.6175 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 0
2016-05-24 09:26:37.6825 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 0
2016-05-24 09:26:38.5126 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 823
2016-05-24 09:26:38.5186 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 0
2016-05-24 09:26:38.5186 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 913
2016-05-24 09:26:38.5186 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 942
2016-05-24 09:26:38.5406 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 7
2016-05-24 09:26:38.5666 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:38.5666 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:38.5666 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 47
2016-05-24 09:26:38.5856 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 36
2016-05-24 09:26:38.5996 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 0
2016-05-24 09:26:38.6126 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 0
2016-05-24 09:26:38.6346 DEBUG Group id : 535e8c46-5436-4298-b760-a213ad0070ca   , duration MS : 1174
2016-05-24 09:26:38.6566 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 69
2016-05-24 09:26:39.5837 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 931
2016-05-24 09:26:39.5837 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 1011
2016-05-24 09:26:39.5957 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 927
2016-05-24 09:26:39.6127 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 0
2016-05-24 09:26:39.6327 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:39.6587 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 0
